M_ItemCode,M_ItemDesc,ItemType,ItemGroup,ItemCategoryName,PurchaseUOM,BaseUOM
1139800649,LAMINAR FLOW VERTI 900 MM ( JS005 ),FIXASSET,I-OPS,Asset,UNIT,UNIT
1139900479,KERTAS HASIL A4 ( COPY ),FIXASSET,ST_RTU,Asset,BOX,BOX
1139901645,AC DAIKIN 1 PK FTC - 25 NV,ST_UMUM,FA-UMUM,Inventaris,UNIT,UNIT
ASSET-GEDUNG,ASSET GEDUNG,FIXASSET,FA-GED,Asset,UNIT,UNIT
ASSET-TANAH,ASSET TANAH,FIXASSET,FA-TANAH,Asset,M2,M2
KENDARAAN-1,MOBIL PENUMPANG <200 JUTA,FIXASSET,FA-KEND1,Asset,UNIT,UNIT
KENDARAAN-2,KENDARAAN > 200 JUTA,FIXASSET,FA-KEND2,Asset,UNIT,UNIT
PERL-OPERASIONAL2,PERALATAN OPERASIONAL CAT2,FIXASSET,FA-OPER2,Asset,UNIT,UNIT
PERL-OPERASIONAL3,PERALATAN OPERASIONAL CAT3,FIXASSET,FA-OPER3,Asset,UNIT,UNIT
PERL-OPERASIONAL4,PERALATAN OPERASIONAL CAT4,FIXASSET,FA-OPER3,Asset,UNIT,UNIT
PERL-OPERASIONAL5,PERALATAN OPERASIONAL CAT5,FIXASSET,FA-OPER3,Asset,UNIT,UNIT
PERL-OPERASIONAL6,PERALATAN OPERASIONAL CAT6,FIXASSET,FA-OPER3,Asset,UNIT,UNIT
PERL.KANTOR,PERALATAN KANTOR,FIXASSET,FA-KANT,Asset,UNIT,UNIT
PERL.OPERASIONAL,PERALATAN OPERASIONAL CAT 1,FIXASSET,FA-OPER1,Asset,UNIT,UNIT
PERL.UMUM,PERALATAN UMUM,FIXASSET,FA-UMUM,Asset,UNIT,UNIT
